sentiment,text
positive,"ah you say the nicest things"
neutral,"hahaha sadly this one s supposed to be done individually so no chance of social loafing lol"
negative,"my voice hurts no we we rock you the musical singing tonight"
neutral,"that s okay i didn t want to watch shelby anyway"
neutral,"half of me wants to go to sleep half of me dosen t shoot my other half is dying of sleepiness"
neutral,"going with chantal to her aunt"
positive,"thanks alot stuck at work with it too"
positive,"i agree"
positive,"feels great after solving a minor but long term problem with ds max just now maybe i should try animating the avatar after all xd"
positive,"i have fantastic friends"
neutral,"it s a she and she s way too stubborn right now thanks for caring though"
positive,"gasp followers i feel almost famous i used to think i would be famous when i grew up one day lol oh well cheers to norm peeps"
negative,"why do u feel nerves i tripped over that plastic telescope at am yesty i fell into the wall my head still hurts"
negative,"and radio x is going all sports next month radio is dead grandrapids"
neutral,"facebook farm town become slower and slower"
neutral,"rock pooling can t believe i get paid for this"
positive,"or nudge the partner good birthday christmas i just want to buy you something gift"
neutral,"you too cloudy day here in madrid typical spring day"
negative,"has a really really itchy eye"
negative,"well i can tell you i didn t marry my like maybe that s why i m stuck in situations like i am now"
neutral,"good morning i certainly did"
negative,"i have no idea i m watching rafa too running to the comp ever to often to check live score he s down in the third"
negative,"i m really tired today"
positive,"better safe than sorry glad everything is okay"
negative,"im listening to people saying eww at out current frog disection poor froggy"
positive,"just made my day tinyurl com cumqmv"
negative,"i kinda want to smack that darn skeleton though"
negative,"too bad the red devils disappointing to say the least"
negative,"fed up of pain now"
neutral,"hitting the docks soon"
neutral,"i tried phoning you"
neutral,"well of course the envelope i have for the book i need to mail is too small if it had fit what fun would that be"
neutral,"needs a break from the computer adios"
positive,"went shopping a lil i deserve it and now a night on the town in the big city of norfolk"
neutral,"is awake and does not want to go to work"
negative,"here again in school bored wanting go home"
neutral,"well the jag just took a on my way home from training i hope it s just the alternator"
neutral,"at home didn t see the bloody movie full booked but night at the museum was fun though"
positive,"happiest of birthdays to you kat"
positive,"just got back from the sing it loud concert amazing"
neutral,"welcome back"
negative,"i m so sorry i saw it too and it shocked me to the core"
negative,"i wish i was in cali wit mari nd lupita seeing vfc not fair"
neutral,"you can still stay if you want to"
positive,"score two days i get more food stamps good cause i want a safeway pizza"
neutral,"and i m listening to wrong by depeche mode"
negative,"it s hella itchy twitpic com mf"
neutral,"per taylor dayne conversation it s official i am now jealous of you"
negative,"yst so u are very burnt sorry back or front burnt"
neutral,"back from worcester my work week starts on friday at"
positive,"thank you we had a blast"
negative,"sad day lakers please make me happy with a w"
negative,"i am very jealous i was supposed to go see it in seattle with a friend this summer but she had to bail out because of work"
negative,"didn t realize animal kingdom closes so early at today now i m stick in the exit traffic"
negative,"does not like ups much today"
positive,"she must have a very adwancrd sense of humor that s funny"
positive,"i ve got yr home out the house they re always here and they bring friends why hope you have a blessed day"
neutral,"ok my job at walmart is a cart pusher i hope i dont get sunburned"
neutral,"i got you today"
neutral,"awww well i am here just in case i am not like the perfect funny friend but i m here hehe"
neutral,"retweeting win an at t pantech matrix pro tinyurl com dmqf it s easy to enter so go do it"
negative,"hurts to be you sunshine all weekend and you don t get to play that s sad"
negative,"i made it six days in a row w out an accident in the house and then pops took me to a strange place and didn t give me time after b fast"
neutral,"morning sunshiines"
neutral,"im such a sucker for great cottys"
negative,"it is so sad that me and my roommate fry chicken just about every night we just finished tonight s batch"
positive,"pollard i have no denial for this because it is the truth"
positive,"omega is tomorrow haven t really planned anything for it make sure to come if you can it ll be awesome then move in june st"
positive,"we are at fort belvoir on base hubs is stationed at the pentagon i cant wait for pug pups i just looooove mine"
positive,"thank you so much for the retweet x"
neutral,"just joined no one is following me"
neutral,"twitpic com wehl graduation pic"
positive,"wants to go home and see erin"
neutral,"shopping with tonight cant wait lucky has already finished work im stuck here forever"
neutral,"big shout out to all my home girls you know who you are"
negative,"ppl who smoke pot are so f n stupid an instant turn off drugs in general why seriously why"
negative,"i miss your dance friends too"
positive,"gudluck to"
neutral,"i can t join your game it s a private beta"
neutral,"have you seen who s knocked you off top spot on wefollow for perth"
neutral,"do you ever respond to ppl"
neutral,"meow yeah u better be"
neutral,"badminton marathon tonight please cooperate feet"
negative,"i m missing one of my diamond earrings this makes me sad"
neutral,"i love wearing my hood too even though in portsmouth i usually get terrified looks from pensioners when i do"
neutral,"well i m obsessed w all of them but i watched the first one again last night glorious where can i get a wand"
neutral,"is this a new album about bloody time too"
positive,"youre very welcome you deserve it"
neutral,"got it your in the rundown"
neutral,"im glad that wasnt my real diver theory test i failed i got questions right but i did have mins left lol x"
positive,"it sure is hope you re having a great morning"
neutral,"and it s off to work i go only days until the kiddo s finish"
neutral,"locked out of my house"
negative,"gah i forgot about separate bins maybe this is a bad idea"
neutral,"ten bucks says i know where your going and if it s where i think it is let me know if my boulder is still on the beach"
